Country,Region,Population,Area_In_Sq_mi,Population_Density_Sq_Mi,Net_Migration,Infant_Mortality_per_1000_Births,GDP_Per_Capita,Literacy_Percent,Phones_per_1000,Arable_Percent,Birthrate,Deathrate,Agriculture,Industry,Service
"Korea, North",ASIA (EX. NEAR EAST)         ,23113019,120540,191.8,0,24.04,1300,99,42.4,20.76,15.54,7.13,0.3,0.34,0.36
"Korea, South",ASIA (EX. NEAR EAST)         ,48846823,98480,496,0,7.05,17800,97.9,486.1,17.18,10,5.85,0.033,0.403,0.563
Kuwait,NEAR EAST                          ,2418393,17820,135.7,14.18,9.95,19000,83.5,211,0.73,21.94,2.41,0.004,0.479,0.516
Kyrgyzstan,C.W. OF IND. STATES ,5213898,198500,26.3,-2.45,35.64,1600,97,84,7.3,22.8,7.08,0.353,0.208,0.439
Laos,ASIA (EX. NEAR EAST)         ,6368481,236800,26.9,0,85.22,1700,66.4,14.1,3.8,35.49,11.55,0.455,0.287,0.258
Latvia,BALTICS                            ,2274735,64589,35.2,-2.23,9.55,10200,99.8,321.4,29.67,9.24,13.66,0.04,0.261,0.699
Lebanon,NEAR EAST                          ,3874050,10400,372.5,0,24.52,4800,87.4,255.6,16.62,18.52,6.21,0.12,0.21,0.67
Lesotho,SUB-SAHARAN AFRICA                 ,2022331,30355,66.6,-0.74,84.23,3000,84.8,23.7,10.87,24.75,28.71,0.163,0.443,0.394
Liberia,SUB-SAHARAN AFRICA                 ,3042004,111370,27.3,0,128.87,1000,57.5,2.3,3.95,44.77,23.1,0.769,0.054,0.177
Libya,NORTHERN AFRICA                    ,5900754,1759540,3.4,0,24.6,6400,82.6,127.1,1.03,26.49,3.48,0.076,0.499,0.425
Liechtenstein,WESTERN EUROPE                     ,33987,160,212.4,4.85,4.7,25000,100,585.5,25,10.21,7.18,0.06,0.39,0.55
Lithuania,BALTICS                            ,3585906,65200,55,-0.71,6.89,11400,99.6,223.4,45.22,8.75,10.98,0.055,0.325,0.62
Luxembourg,WESTERN EUROPE                     ,474413,2586,183.5,8.97,4.81,55100,100,515.4,23.28,11.94,8.41,0.01,0.13,0.86
Macau,ASIA (EX. NEAR EAST)         ,453125,28,16183,4.86,4.39,19400,94.5,384.9,0,8.48,4.47,0.001,0.072,0.927
Macedonia,EASTERN EUROPE                     ,2050554,25333,80.9,-1.45,10.09,6700,,260,22.26,12.02,8.77,0.118,0.319,0.563
